expected, entered, time, distractor type, success
HRSLFER,HRSLFRS,3003,Rect Distractor,False
UXHOHUQ,UXHOQUOH,6827,Text Distractor,False
NTKARZGZA,NTKARGZA,3424,Rect Distractor,False
QZKQENYZ,QKYENZK,5777,Text Distractor,False
KNHZYGTX,KNHZYNGT,5606,Rect Distractor,False
VDE,VDE,3868,Text Distractor,True
IWPAB,IWPAB,2753,No Distractor,True
QCN,QCN,3186,No Distractor,True
TXFUUK,TXFUUK,4072,Rect Distractor,True
IKXHSKUH,IKSHUGFHS,3570,No Distractor,False
HFOHY,HFOHY,3139,Text Distractor,True
ANAXJK,ANAKJS,2952,No Distractor,False
UKRPVWQWB,UKRWBAWJW,2769,Text Distractor,False
ULJS,ULJS,2374,Rect Distractor,True
WHVN,WHVN,2170,No Distractor,True
GONIACNNX,GONIANCNN,3357,No Distractor,False
ALSJ,ALSJ,2153,Text Distractor,True
AKC,AKC,1389,Rect Distractor,True
FKTUW,FKTUW,2704,Rect Distractor,True
YOOBGA,YOOBGA,2286,Text Distractor,True
ELKDARL,ELKDARL,2369,No Distractor,True
